"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/19 7:11:25 PM GMT+2","1","Only DM","Agree","Strongly agree","Strongly agree","Agree","I have learned to manage groups of people and to be more forward about my emotions. Also, how to talk to other people about emotions."
"2019/06/19 7:14:10 PM GMT+2","4","Mostly Player","Strongly disagree","Strongly disagree","Strongly disagree","Agree",""
"2019/06/19 7:15:59 PM GMT+2","2","Mostly DM","Agree","Agree","Neutral","Agree","Creativity grows with practice"
"2019/06/19 7:16:55 PM GMT+2","4","Mostly Player","Neutral","Strongly agree","Agree","Agree",""
"2019/06/19 7:17:00 PM GMT+2","4","Mostly Player","Neutral","Agree","Neutral","Strongly agree",""
"2019/06/19 7:17:06 PM GMT+2","0","Only Player","Neutral","Agree","Agree","Neutral","Learning how to talk to others & express myself"
"2019/06/19 7:17:36 PM GMT+2","3","Mostly DM","Neutral","Strongly agree","Strongly agree","Strongly agree","It has helped me with my shyness and social anxiety a lot by making me speak in groups as a player at first. Now I DM a small group, a feat I thought impossible just a few years ago."
"2019/06/19 7:19:50 PM GMT+2","8","Mostly Player","Neutral","Agree","Agree","Agree","Never split the party. While true my serious answer would be creative problem-solving. I typically play a utility rogue. As I’m a handy-man of sorts IRL. It helps find a different approach to problem-solving. Plus getting a “sure why not” is always a nice day. Whether at work or in game. 
Next would be socializing. I can be an antagonistic person ,:3 not always intentionally, but I can rub people the wrong way. And it goes the same with a DnD party. Some get along some are here to just have fun. Others max-min so it’s a delicate balancing act finding where you fit with each other person and their play style. "
"2019/06/19 7:21:57 PM GMT+2","3","Only Player","Agree","Strongly agree","Strongly agree","Neutral","I learned how to look at something through someone else’s shoes it had helped me realise that I need some more order in how I plan out my life"
"2019/06/19 7:22:37 PM GMT+2","2","Player & DM","Agree","Agree","Agree","Strongly agree","Connection to a great community and a game system that lets you practice for real life "
