years,player_dm,emotional,social,friends,irl
1,5,4,5,5,4
4,2,1,1,1,4
2,4,4,4,3,4
4,2,3,5,4,4
4,2,3,4,3,5
0,1,3,4,4,3
3,4,3,5,5,5
8,2,3,4,4,4
3,1,4,5,5,3
2,3,4,4,4,5
4,2,3,4,4,4
40,3,3,4,2,4
20,2,2,2,2,3
20,2,2,2,2,3
1,1,3,4,4,3
32,4,5,5,5,5
3,3,4,4,4,4
20,3,3,4,4,4
2,5,3,4,3,4
1,1,4,4,3,4
1,1,3,4,4,4
1,5,4,4,3,4
28,4,4,4,4,5
2,1,3,3,3,4
8,3,5,5,5,5
3,2,4,4,5,5
2,5,3,4,4,4
5,4,4,5,4,5
3,4,3,5,5,5
2,3,4,4,3,5
18,4,4,3,3,5
12,2,4,4,3,3
7,3,3,4,3,4
1,2,4,5,3,3
4,3,3,4,3,4
3,4,3,4,4,4
3,3,4,5,3,4
5,3,4,4,4,4
3,3,3,3,2,3
1,1,2,2,4,4
3,3,4,5,5,5
4,3,1,3,2,2
14,3,2,3,2,4
1,5,3,4,4,3
12,3,4,4,3,5
3,2,3,4,4,4
4,4,3,3,2,4
2,5,4,5,3,5
10,4,3,4,4,4
2,1,5,5,5,5
1.5,2,3,4,4,3
1,2,4,5,4,4
3,3,3,4,4,4
1,4,3,4,3,3
18,3,4,4,3,4
3 ,4,2,2,2,5
2,4,3,4,3,4
6,4,1,1,1,3
4,2,4,3,3,4
8,2,4,3,5,5
2,2,5,4,4,4
9,4,4,4,3,5
17,3,3,4,4,4
7,3,3,4,4,4
7,4,3,4,3,4
1.5,4,2,4,2,4
6,3,3,4,4,3
1,2,4,5,4,3
3,3,5,5,5,5
3,3,4,5,5,5
1,2,4,5,4,4
3,4,4,4,2,2
12,4,5,5,5,5
2 ,4,2,4,5,4
22,4,4,4,4,5
5,1,1,1,1,1
1,1,1,1,1,1
37,3,4,5,3,4
21,3,4,4,4,4
6,4,2,5,4,5
1,4,3,3,3,3
1,1,2,3,3,2
16,4,4,5,4,4
5,3,4,4,5,5
1,2,4,5,4,5
1,3,3,4,3,5
4,1,5,5,5,5
5,2,4,4,4,5
3,3,3,5,5,5
2,1,3,4,4,3
2,4,3,3,3,3
14 ,3,5,5,5,5
5,1,1,4,4,4
32,3,4,4,4,4
20,3,4,4,2,5
